seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
3,27,random,0.1,0,tom_ce,ce,5,59,100,100,0,0,5.08,9466,4250,0,0,0,1,508
3,27,random,0.2,1,paxos_pipeline,ci,5,59,100,100,0,0,67.90,8716,3370,6436,12,282,0,606
3,27,random,0.2,1,2pc_pipeline,ci,5,59,100,78,22,0,144.60,12350,4814,8999,52,416,0,669
3,27,random,0.2,1,tom_pipeline,ci,5,59,100,100,0,0,5.62,7455,2859,5481,19,19,0,539
3,27,random,0.2,0,paxos_ce,ce,5,59,100,100,0,0,14.79,24581,15352,0,0,0,43,1479
3,27,random,0.2,0,2pc_ce,ce,5,59,100,100,0,0,26.08,43710,26706,0,0,0,643,2608
3,27,random,0.2,0,tom_ce,ce,5,59,100,100,0,0,5.44,10267,4421,0,0,0,1,544
3,54,random,0,1,paxos_pipeline,ci,5,122,100,100,0,0,137.62,18174,6858,9690,0,0,0,638
3,54,random,0,1,2pc_pipeline,ci,5,122,100,100,0,0,275.00,22107,8316,11805,0,0,0,777
3,54,random,0,1,tom_pipeline,ci,5,122,100,100,0,0,5.07,14329,5400,7649,0,0,0,507
3,54,random,0,0,paxos_ce,ce,5,122,100,100,0,0,18.04,57625,39791,0,0,0,3,1804
3,54,random,0,0,2pc_ce,ce,5,122,100,100,0,0,31.43,100733,68989,0,0,0,727,3143
3,54,random,0,0,tom_ce,ce,5,122,100,100,0,0,5.07,19732,7646,0,0,0,0,507
3,54,random,0.05,1,paxos_pipeline,ci,5,122,100,100,0,0,142.96,18748,6855,10577,0,0,0,665
3,54,random,0.05,1,2pc_pipeline,ci,5,122,100,100,0,0,286.08,22729,8316,13019,0,0,0,810
3,54,random,0.05,1,tom_pipeline,ci,5,122,100,100,0,0,5.28,15253,5559,8564,0,0,0,528
3,54,random,0.05,0,paxos_ce,ce,5,122,100,100,0,0,17.99,57887,39259,0,0,0,6,1799
3,54,random,0.05,0,2pc_ce,ce,5,122,100,100,0,0,30.56,97854,67170,0,0,0,433,3056
3,54,random,0.05,0,tom_ce,ce,5,122,100,100,0,0,5.34,20741,8095,0,0,0,0,534
3,54,random,0.1,1,paxos_pipeline,ci,5,122,100,100,0,0,149.74,19398,6852,11604,3,159,0,696
3,54,random,0.1,1,2pc_pipeline,ci,5,122,100,96,4,0,300.11,24897,8685,15072,10,318,0,853
3,54,random,0.1,1,tom_pipeline,ci,5,122,100,100,0,0,5.48,15540,5503,9143,4,3,0,548
3,54,random,0.1,0,paxos_ce,ce,5,122,100,100,0,0,18.08,58567,39065,0,0,0,16,1808
3,54,random,0.1,0,2pc_ce,ce,5,122,100,100,0,0,30.84,99559,66977,0,0,0,593,3084
3,54,random,0.1,0,tom_ce,ce,5,122,100,100,0,0,5.70,22024,8756,0,0,0,7,570
3,54,random,0.2,1,paxos_pipeline,ci,5,122,100,100,0,0,163.17,21026,6820,13572,10,526,0,761
3,54,random,0.2,1,2pc_pipeline,ci,5,122,100,86,14,0,327.88,184569,58862,118963,45,1570,0,932
3,54,random,0.2,1,tom_pipeline,ci,5,122,100,100,0,0,6.03,19031,6176,12269,13,13,0,603
3,54,random,0.2,0,paxos_ce,ce,5,122,100,100,0,0,18.60,61329,39111,0,0,0,89,1860
3,54,random,0.2,0,2pc_ce,ce,5,122,100,100,0,0,32.23,106200,67842,0,0,0,1258,3223
3,54,random,0.2,0,tom_ce,ce,5,122,100,100,0,0,6.83,26089,10793,0,0,0,26,683
3,188,random,0,1,paxos_pipeline,ci,7,426,100,100,0,0,623.62,131580,36472,71648,0,0,0,1269
3,188,random,0,1,2pc_pipeline,ci,7,426,100,100,0,0,1238.00,194718,54144,106270,0,0,0,1882
3,188,random,0,1,tom_pipeline,ci,7,426,100,100,0,0,6.51,66738,18800,36850,0,0,0,651
3,188,random,0,0,paxos_ce,ce,7,426,100,100,0,0,24.36,271524,186444,0,0,0,69,2436
3,188,random,0,0,2pc_ce,ce,7,426,100,100,0,0,41.98,462178,327046,0,0,0,1962,4198
3,188,random,0,0,tom_ce,ce,7,426,100,100,0,0,7.27,98480,38196,0,0,0,59,727
3,188,random,0.05,1,paxos_pipeline,ci,7,426,100,100,0,0,647.82,135714,36460,76738,2,374,0,1318
3,188,random,0.05,1,2pc_pipeline,ci,7,426,100,99,1,0,1304.43,373784,100000,217304,11,1122,0,1980
3,188,random,0.05,1,tom_pipeline,ci,7,426,100,100,0,0,6.75,72439,19734,41307,1,1,0,675
3,188,random,0.05,0,paxos_ce,ce,7,426,100,100,0,0,24.47,274205,185831,0,0,0,182,2447
3,188,random,0.05,0,2pc_ce,ce,7,426,100,100,0,0,42.22,466928,326808,0,0,0,1943,4222
3,188,random,0.05,0,tom_ce,ce,7,426,100,100,0,0,8.15,108437,44783,0,0,0,190,815
3,188,random,0.1,1,paxos_pipeline,ci,7,426,100,100,0,0,676.43,141289,36442,82649,7,1309,0,1379
3,188,random,0.1,1,2pc_pipeline,ci,7,426,100,99,1,0,1350.09,712786,183313,427233,38,4108,0,2057
3,188,random,0.1,1,tom_pipeline,ci,7,426,100,100,0,0,7.05,82005,21417,47918,1,1,0,705
3,188,random,0.1,0,paxos_ce,ce,7,426,100,100,0,0,24.66,278210,185398,0,0,0,453,2466
3,188,random,0.1,0,2pc_ce,ce,7,426,100,100,0,0,43.11,480283,330185,0,0,0,2867,4311
3,188,random,0.1,0,tom_ce,ce,7,426,100,100,0,0,9.05,118519,51621,0,0,0,269,905
3,188,random,0.2,1,paxos_pipeline,ci,7,426,100,100,0,0,609.98,152950,36282,96340,26,4621,0,1512
3,188,random,0.2,1,2pc_pipeline,ci,7,426,100,15,85,0,1489.80,724086,168755,456623,112,12028,0,2250
3,188,random,0.2,1,tom_pipeline,ci,7,426,100,100,0,0,7.69,116369,27672,73287,18,18,0,769
3,188,random,0.2,0,paxos_ce,ce,7,426,100,100,0,0,25.70,294818,188342,0,0,0,1586,2570
3,188,random,0.2,0,2pc_ce,ce,7,426,100,100,0,0,45.16,512361,336647,0,0,0,5394,4516
3,188,random,0.2,0,tom_ce,ce,7,426,100,100,0,0,10.96,142222,63826,0,0,0,1259,1096
5,6,random,0,1,paxos_pipeline,ci,2,11,100,100,0,0,8.50,652,618,482,0,0,0,289
5,6,random,0,1,2pc_pipeline,ci,2,11,100,100,0,0,17.00,670,636,494,0,0,0,297
5,6,random,0,1,tom_pipeline,ci,2,11,100,100,0,0,2.83,632,600,466,0,0,0,283
5,6,random,0,0,paxos_ce,ce,2,11,100,100,0,0,6.74,2307,1737,0,0,0,0,674
5,6,random,0,0,2pc_ce,ce,2,11,100,100,0,0,11.37,4086,2736,0,0,0,134,1137
